Year,Location,Genotype,Amylose,Crude Fiber
2021,Umudike,NR17C2aF95P009,14.496,3.067
2021,Umudike,NR17C2aF95P011,23.043,1
2021,Umudike,NR17C2aF96P004,,1.667
2021,Umudike,NR17C2aF97P002,20.053,1.7
2021,Umudike,NR17C2aF98P001,35.576,2.333
2021,Umudike,NR17C2aF99P002,19.932,2.133
2021,Umudike,NR17C2aF9P010,23.194,2
2021,Umudike,NR17C2aF9P013,19.086,1.967
2021,Umudike,TMEB419,25.791,
2021,Umudike,TMEB7,15.07,1.667
,,,,
