"","Year","Location","Genotype","Amylose","Crude.Fiber"
"109","2021","Otobi","NR17C2aF29P001",18.94,3.33
"110","2021","Otobi","NR17C2aF33P002",17.76,1.13
"111","2021","Otobi","NR17C2aF33P003",18.19,1.47
"112","2021","Otobi","NR17C2aF35P004",15.1,2
"113","2021","Otobi","NR17C2aF37P001",18.81,2.17
"114","2021","Otobi","NR17C2aF39P002",15.79,1.1
"115","2021","Otobi","NR17C2aF3P010",17.97,1.33
"116","2021","Otobi","NR17C2aF40P004",16.91,2.33
"117","2021","Otobi","NR17C2aF46P012",23.86,2.67
"118","2021","Otobi","NR17C2aF49P006",24.13,1.66
"119","2021","Otobi","NR17C2aF54P001",16.4,1.7
"120","2021","Otobi","NR17C2aF54P002",19.33,2.66
"121","2021","Otobi","NR17C2aF54P010",15.89,1.99
"122","2021","Otobi","NR17C2aF54P012",15.4,1.67
"123","2021","Otobi","NR17C2aF54P015",19.16,2
"124","2021","Otobi","NR17C2aF5P017",20.6,4
"125","2021","Otobi","NR17C2aF5P022",19,1.33
"126","2021","Otobi","NR17C2aF5P026",19,2.66
"127","2021","Otobi","NR17C2aF60P003",18.51,1.67
"128","2021","Otobi","NR17C2aF60P009",16.25,2.66
"129","2021","Otobi","NR17C2aF60P010",15.55,2.67
"130","2021","Otobi","NR17C2aF60P012",17.67,3.33
"131","2021","Otobi","NR17C2aF60P015",15.28,1.66
"132","2021","Otobi","NR17C2aF60P020",13.38,2.67
"133","2021","Otobi","NR17C2aF61P002",16.19,2.33
"134","2021","Otobi","NR17C2aF61P003",16.94,1.7
"135","2021","Otobi","NR17C2aF61P004",16.01,1.5
"136","2021","Otobi","NR17C2aF61P006",18.3,2.99
"137","2021","Otobi","NR17C2aF61P007",16.85,3.32
"138","2021","Otobi","NR17C2aF61P008",14.47,1.57
"139","2021","Otobi","NR17C2aF61P009",15.37,1.72
"140","2021","Otobi","NR17C2aF61P010",15.31,1.77
"141","2021","Otobi","NR17C2aF61P011",14.59,2.67
"142","2021","Otobi","NR17C2aF61P013",19.09,0.67
"143","2021","Otobi","NR17C2aF61P015",10.96,2.33
"144","2021","Otobi","NR17C2aF61P016",20.23,2
"145","2021","Otobi","NR17C2aF62P015",18.84,2.33
"146","2021","Otobi","NR17C2aF62P020",18.48,2.66
"147","2021","Otobi","NR17C2aF62P024",18,0.5
"148","2021","Otobi","NR17C2aF62P027",15.37,1.67
"149","2021","Otobi","NR17C2aF65P009",19.45,3.67
"150","2021","Otobi","NR17C2aF65P017",16.97,1.43
"151","2021","Otobi","NR17C2aF65P020",17.46,1.67
"152","2021","Otobi","NR17C2aF65P027",17.56,2.655
"153","2021","Otobi","NR17C2aF65P031",19.3,3.67
"154","2021","Otobi","NR17C2aF66P002",17.52,5
"155","2021","Otobi","NR17C2aF66P003",15.13,3
"156","2021","Otobi","NR17C2aF66P014",19.6,3.67
"157","2021","Otobi","NR17C2aF69P009",NA,1.1
"158","2021","Otobi","NR17C2aF6P006",15.76,2.33
"159","2021","Otobi","NR17C2aF6P007",19.45,2.66
"160","2021","Otobi","NR17C2aF6P030",18.12,1.3
"161","2021","Otobi","NR17C2aF6P044",15.37,2.67
"162","2021","Otobi","NR17C2aF6P045",17.24,2.33
"163","2021","Otobi","NR17C2aF6P046",16.37,2.4
"164","2021","Otobi","NR17C2aF70P001",22.74,0.9
"165","2021","Otobi","NR17C2aF70P008",10.15,2.66
"166","2021","Otobi","NR17C2aF71P001",22.71,2.67
"167","2021","Otobi","NR17C2aF79P001",15.55,0.9
"168","2021","Otobi","NR17C2aF79P005",19.72,1.67
"169","2021","Otobi","NR17C2aF79P007",NA,1.66
"170","2021","Otobi","NR17C2aF79P008",NA,2.67
"171","2021","Otobi","NR17C2aF79P016",16.67,0.7
"172","2021","Otobi","NR17C2aF7P007",23.44,13.29
"173","2021","Otobi","NR17C2aF7P008",17.33,1.7
"174","2021","Otobi","NR17C2aF7P011",19.24,19.67
"175","2021","Otobi","NR17C2aF7P013",15.7,1.33
"176","2021","Otobi","NR17C2aF7P017",19.3,2
"177","2021","Otobi","NR17C2aF7P018",10.54,0.93
"178","2021","Otobi","NR17C2aF7P023",18.88,1.67
"179","2021","Otobi","NR17C2aF7P030",19.33,1.66
"180","2021","Otobi","NR17C2aF7P034",16.04,1.33
"181","2021","Otobi","NR17C2aF7P036",16.16,1.66
"182","2021","Otobi","NR17C2aF7P043",19.72,1.99
"183","2021","Otobi","NR17C2aF7P044",18.91,3
"184","2021","Otobi","NR17C2aF7P045",19,3.33
"185","2021","Otobi","NR17C2aF7P052",20.39,2.33
"186","2021","Otobi","NR17C2aF7P062",17.49,1.03
"187","2021","Otobi","NR17C2aF7P065",19.78,0.63
"188","2021","Otobi","NR17C2aF7P067",19.6,2.33
"189","2021","Otobi","NR17C2aF7P070",17.61,1.67
"190","2021","Otobi","NR17C2aF7P071",13.47,1.67
"191","2021","Otobi","NR17C2aF81P003",18,1.33
"192","2021","Otobi","NR17C2aF82P002",18.97,1.07
"193","2021","Otobi","NR17C2aF82P005",17.14,2.45
"194","2021","Otobi","NR17C2aF82P008",NA,2.33
"195","2021","Otobi","NR17C2aF83P010",20.63,2.33
"196","2021","Otobi","NR17C2aF83P018",18,2.33
"197","2021","Otobi","NR17C2aF84P004",NA,2.33
"198","2021","Otobi","NR17C2aF87P010",16.46,2.66
"199","2021","Otobi","NR17C2aF87P011",19.63,2.99
"200","2021","Otobi","NR17C2aF89P002",16.1,2.33
"201","2021","Otobi","NR17C2aF89P003",17.85,1.67
"202","2021","Otobi","NR17C2aF89P009",15.55,1.3
"203","2021","Otobi","NR17C2aF89P010",16.64,1.63
"204","2021","Otobi","NR17C2aF89P013",18.39,1.23
"205","2021","Otobi","NR17C2aF89P014",16.13,1.5
"206","2021","Otobi","NR17C2aF89P018",19.45,2.33
"207","2021","Otobi","NR17C2aF89P020",18.36,1.27
"208","2021","Otobi","NR17C2aF89P021",13.74,1.93
"209","2021","Otobi","NR17C2aF89P028",17.43,3.33
"210","2021","Otobi","NR17C2aF89P041",20.9,2.66
"211","2021","Otobi","NR17C2aF89P045",18.33,2.33
"212","2021","Otobi","NR17C2aF89P050",16.31,3.32
"213","2021","Otobi","NR17C2aF89P054",18.78,2.66
"214","2021","Otobi","NR17C2aF89P056",17.49,1.97
"215","2021","Otobi","NR17C2aF89P058",19.48,1.67
"216","2021","Otobi","NR17C2aF89P067",17.15,2.33
"217","2021","Otobi","NR17C2aF89P069",15.37,1.53
"218","2021","Otobi","NR17C2aF89P071",15.92,2.33
"219","2021","Otobi","NR17C2aF89P084",23.13,1.66
"220","2021","Otobi","NR17C2aF89P088",21.11,2.99
"221","2021","Otobi","NR17C2aF89P091",24.49,2.33
"222","2021","Otobi","NR17C2aF89P096",15.4,2.33
"223","2021","Otobi","NR17C2aF89P102",18.78,2.67
"224","2021","Otobi","NR17C2aF90P001",18.42,1.87
"225","2021","Otobi","NR17C2aF90P007",17.64,1.33
"226","2021","Otobi","NR17C2aF91P001",18.72,2.33
"227","2021","Otobi","NR17C2aF91P004",17.46,1.83
"228","2021","Otobi","NR17C2aF91P006",18.15,2.66
"229","2021","Otobi","NR17C2aF91P008",8.97,1.7
"230","2021","Otobi","NR17C2aF91P011",12.99,2.99
"231","2021","Otobi","NR17C2aF92P001",22.02,3.33
"232","2021","Otobi","NR17C2aF92P002",18.33,1.66
"233","2021","Otobi","NR17C2aF92P003",16.88,2.33
"234","2021","Otobi","NR17C2aF92P005",13.8,3
"235","2021","Otobi","NR17C2aF93P009",18.21,2.99
"236","2021","Otobi","NR17C2aF93P010",14.1,1.37
"237","2021","Otobi","NR17C2aF94P013",17.97,3.67
"238","2021","Otobi","NR17C2aF95P003",15.58,0.93
"239","2021","Otobi","NR17C2aF95P011",15.16,3
"240","2021","Otobi","NR17C2aF95P015",18.39,1.73
"241","2021","Otobi","NR17C2aF95P021",18.12,2.33
"242","2021","Otobi","NR17C2aF96P004",16.88,3.67
"243","2021","Otobi","NR17C2aF97P002",11.93,2.57
"244","2021","Otobi","NR17C2aF98P001",17.46,1.67
"245","2021","Otobi","NR17C2aF99P002",16.94,2.33
"246","2021","Otobi","NR17C2aF9P010",19.18,2.99
"247","2021","Otobi","NR17C2aF9P013",19.6,1.03
"248","2021","Otobi","NR8082",19.24,2
"249","2021","Otobi","TMEB419",23.86,1.27
"250","2021","Otobi","TMEB7",16.07,1.66
"251","2022","Otobi","IITA-TMS-IBA00070",NA,1.99
"252","2022","Otobi","IITA-TMS-IBA30572",15.372,1.99
"253","2022","Otobi","NR17C2aF103P001",17.123,2.67
"254","2022","Otobi","NR17C2aF10P001",13.137,2.33
"255","2022","Otobi","NR17C2aF10P002",15.523,3.33
"256","2022","Otobi","NR17C2aF10P006",16.399,2
"257","2022","Otobi","NR17C2aF10P016",NA,3.32
"258","2022","Otobi","NR17C2aF10P017",19.449,2
"259","2022","Otobi","NR17C2aF10P021",NA,1.66
"260","2022","Otobi","NR17C2aF10P025",14.345,2.33
"261","2022","Otobi","NR17C2aF114P004",17.274,1.67
"262","2022","Otobi","NR17C2aF120P002",17.154,3
"263","2022","Otobi","NR17C2aF121P001",12.412,2.33
"264","2022","Otobi","NR17C2aF121P005",14.436,4.33
"265","2022","Otobi","NR17C2aF12P001",20.838,3
"266","2022","Otobi","NR17C2aF13P001",20.415,2.66
"267","2022","Otobi","NR17C2aF14P014",18.845,2.33
"268","2022","Otobi","NR17C2aF14P016",15.764,2.66
"269","2022","Otobi","NR17C2aF15P003",12.624,3
"270","2022","Otobi","NR17C2aF15P011",9.604,2.33
"271","2022","Otobi","NR17C2aF15P016",18.966,3.33
"272","2022","Otobi","NR17C2aF15P022",16.489,3.32
"273","2022","Otobi","NR17C2aF15P032",18.513,1.67
"274","2022","Otobi","NR17C2aF16P003",20.083,3
"275","2022","Otobi","NR17C2aF16P004",23.224,2.33
"276","2022","Otobi","NR17C2aF16P010",15.734,2.33
"277","2022","Otobi","NR17C2aF16P013",18.029,2.33
"278","2022","Otobi","NR17C2aF18P008",16.459,3.65
"279","2022","Otobi","NR17C2aF18P015",12.201,2.33
"280","2022","Otobi","NR17C2aF18P018",15.674,2.67
