"","Year","Location","Genotype","Amylose","Crude.Fiber"
"108","2021","Otobi","NR17C2aF61P009",15.37,1.72
"109","2021","Otobi","NR17C2aF61P010",15.31,1.77
"110","2021","Otobi","NR17C2aF61P011",14.59,2.67
"111","2021","Otobi","NR17C2aF61P013",19.09,0.67
"112","2021","Otobi","NR17C2aF61P015",10.96,2.33
"113","2021","Otobi","NR17C2aF61P016",20.23,2
"114","2021","Otobi","NR17C2aF62P015",18.84,2.33
"115","2021","Otobi","NR17C2aF62P020",18.48,2.66
"116","2021","Otobi","NR17C2aF62P024",18,0.5
"117","2021","Otobi","NR17C2aF62P027",15.37,1.67
"118","2021","Otobi","NR17C2aF65P009",19.45,3.67
"119","2021","Otobi","NR17C2aF65P017",16.97,1.43
"120","2021","Otobi","NR17C2aF65P020",17.46,1.67
"121","2021","Otobi","NR17C2aF65P027",17.56,2.655
"122","2021","Otobi","NR17C2aF65P031",19.3,3.67
"123","2021","Otobi","NR17C2aF66P002",17.52,5
"124","2021","Otobi","NR17C2aF66P003",15.13,3
"125","2021","Otobi","NR17C2aF66P014",19.6,3.67
"126","2021","Otobi","NR17C2aF69P009",NA,1.1
"127","2021","Otobi","NR17C2aF6P006",15.76,2.33
"128","2021","Otobi","NR17C2aF6P007",19.45,2.66
"129","2021","Otobi","NR17C2aF6P030",18.12,1.3
"130","2021","Otobi","NR17C2aF6P044",15.37,2.67
"131","2021","Otobi","NR17C2aF6P045",17.24,2.33
"132","2021","Otobi","NR17C2aF6P046",16.37,2.4
"133","2021","Otobi","NR17C2aF70P001",22.74,0.9
"134","2021","Otobi","NR17C2aF70P008",10.15,2.66
"135","2021","Otobi","NR17C2aF71P001",22.71,2.67
"136","2021","Otobi","NR17C2aF79P001",15.55,0.9
"137","2021","Otobi","NR17C2aF79P005",19.72,1.67
"138","2021","Otobi","NR17C2aF79P007",NA,1.66
"139","2021","Otobi","NR17C2aF79P008",NA,2.67
"140","2021","Otobi","NR17C2aF79P016",16.67,0.7
"141","2021","Otobi","NR17C2aF7P007",23.44,13.29
"142","2021","Otobi","NR17C2aF7P008",17.33,1.7
"143","2021","Otobi","NR17C2aF7P011",19.24,19.67
"144","2021","Otobi","NR17C2aF7P013",15.7,1.33
"145","2021","Otobi","NR17C2aF7P017",19.3,2
"146","2021","Otobi","NR17C2aF7P018",10.54,0.93
"147","2021","Otobi","NR17C2aF7P023",18.88,1.67
"148","2021","Otobi","NR17C2aF7P030",19.33,1.66
"149","2021","Otobi","NR17C2aF7P034",16.04,1.33
"150","2021","Otobi","NR17C2aF7P036",16.16,1.66
"151","2021","Otobi","NR17C2aF7P043",19.72,1.99
"152","2021","Otobi","NR17C2aF7P044",18.91,3
"153","2021","Otobi","NR17C2aF7P045",19,3.33
"154","2021","Otobi","NR17C2aF7P052",20.39,2.33
"155","2021","Otobi","NR17C2aF7P062",17.49,1.03
"156","2021","Otobi","NR17C2aF7P065",19.78,0.63
"157","2021","Otobi","NR17C2aF7P067",19.6,2.33
"158","2021","Otobi","NR17C2aF7P070",17.61,1.67
"159","2021","Otobi","NR17C2aF7P071",13.47,1.67
"160","2021","Otobi","NR17C2aF81P003",18,1.33
"161","2021","Otobi","NR17C2aF82P002",18.97,1.07
"162","2021","Otobi","NR17C2aF82P005",17.14,2.45
"163","2021","Otobi","NR17C2aF82P008",NA,2.33
"164","2021","Otobi","NR17C2aF83P010",20.63,2.33
"165","2021","Otobi","NR17C2aF83P018",18,2.33
"166","2021","Otobi","NR17C2aF84P004",NA,2.33
"167","2021","Otobi","NR17C2aF87P010",16.46,2.66
"168","2021","Otobi","NR17C2aF87P011",19.63,2.99
"169","2021","Otobi","NR17C2aF89P002",16.1,2.33
