Year,Location,Genotype,Amylose,Crude Fiber
2022,Otobi,IITA-TMS-IBA00070,,1.99
2022,Otobi,IITA-TMS-IBA30572,15.372,1.99
2022,Otobi,NR17C2aF103P001,17.123,2.67
2022,Otobi,NR17C2aF10P001,13.137,2.33
2022,Otobi,NR17C2aF10P002,15.523,3.33
2022,Otobi,NR17C2aF10P006,16.399,2
2022,Otobi,NR17C2aF10P016,,3.32
2022,Otobi,NR17C2aF10P017,19.449,2
2022,Otobi,NR17C2aF10P021,,1.66
2022,Otobi,NR17C2aF10P025,14.345,2.33
2022,Otobi,NR17C2aF114P004,17.274,1.67
2022,Otobi,NR17C2aF120P002,17.154,3
2022,Otobi,NR17C2aF121P001,12.412,2.33
2022,Otobi,NR17C2aF121P005,14.436,4.33
2022,Otobi,NR17C2aF12P001,20.838,3
2022,Otobi,NR17C2aF13P001,20.415,2.66
2022,Otobi,NR17C2aF14P014,18.845,2.33
2022,Otobi,NR17C2aF14P016,15.764,2.66
2022,Otobi,NR17C2aF15P003,12.624,3
2022,Otobi,NR17C2aF15P011,9.604,2.33
2022,Otobi,NR17C2aF15P016,18.966,3.33
2022,Otobi,NR17C2aF15P022,16.489,3.32
2022,Otobi,NR17C2aF15P032,18.513,1.67
2022,Otobi,NR17C2aF16P003,20.083,3
2022,Otobi,NR17C2aF16P004,23.224,2.33
2022,Otobi,NR17C2aF16P010,15.734,2.33
2022,Otobi,NR17C2aF16P013,18.029,2.33
2022,Otobi,NR17C2aF18P008,16.459,3.65
2022,Otobi,NR17C2aF18P015,12.201,2.33
2022,Otobi,NR17C2aF18P018,15.674,2.67
2022,Otobi,NR17C2aF19P002,15.976,2.66
2022,Otobi,NR17C2aF1P003,17.123,2
2022,Otobi,NR17C2aF1P006,17.818,2
2022,Otobi,NR17C2aF1P009,16.097,1.67
2022,Otobi,NR17C2aF21P004,15.16,2.67
2022,Otobi,NR17C2aF27P001,18.211,2
2022,Otobi,NR17C2aF28P002,18.815,3.33
2022,Otobi,NR17C2aF29P001,17.939,4
2022,Otobi,NR17C2aF33P002,14.285,1.99
2022,Otobi,NR17C2aF33P003,17.788,2.67
2022,Otobi,NR17C2aF35P004,15.704,2
2022,Otobi,NR17C2aF37P001,17.093,2
2022,Otobi,NR17C2aF39P002,19.6,1.99
2022,Otobi,NR17C2aF40P004,18.815,2
2022,Otobi,NR17C2aF46P012,11.899,2.33
2022,Otobi,NR17C2aF49P006,19.117,2.67
2022,Otobi,NR17C2aF54P001,17.033,2.33
2022,Otobi,NR17C2aF54P002,18.664,2.67
2022,Otobi,NR17C2aF54P010,17.003,1.33
2022,Otobi,NR17C2aF54P015,14.315,2
2022,Otobi,NR17C2aF5P017,13.59,2.67
2022,Otobi,NR17C2aF5P026,16.399,2.33
2022,Otobi,NR17C2aF60P003,19.781,2
2022,Otobi,NR17C2aF60P006,30.653,1.33
2022,Otobi,NR17C2aF60P007,20.838,1.99
2022,Otobi,NR17C2aF60P009,21.291,1.99
2022,Otobi,NR17C2aF60P010,12.442,2.33
2022,Otobi,NR17C2aF60P012,16.459,2.67
2022,Otobi,NR17C2aF60P015,18.392,1.67
2022,Otobi,NR17C2aF60P019,15.613,3.32
2022,Otobi,NR17C2aF60P020,23.224,1.67
2022,Otobi,NR17C2aF61P002,16.882,3
2022,Otobi,NR17C2aF61P003,17.697,1.33
2022,Otobi,NR17C2aF61P004,20.657,1.99
2022,Otobi,NR17C2aF61P006,16.127,2.99
2022,Otobi,NR17C2aF61P007,18.331,2
2022,Otobi,NR17C2aF61P008,15.009,2
2022,Otobi,NR17C2aF61P009,15.915,2.33
2022,Otobi,NR17C2aF61P010,12.05,1.67
2022,Otobi,NR17C2aF61P011,18.18,2
2022,Otobi,NR17C2aF61P013,17.637,1.67
2022,Otobi,NR17C2aF61P015,16.066,1.67
2022,Otobi,NR17C2aF61P016,19.026,0.07
2022,Otobi,NR17C2aF62P015,21.835,1.33
2022,Otobi,NR17C2aF62P020,17.878,1.33
2022,Otobi,NR17C2aF62P027,17.365,1.67
2022,Otobi,NR17C2aF65P009,16.58,2
2022,Otobi,NR17C2aF65P020,17.033,2
2022,Otobi,NR17C2aF65P024,15.523,3.33
2022,Otobi,NR17C2aF65P027,17.154,3.65
2022,Otobi,NR17C2aF65P031,16.127,3
2022,Otobi,NR17C2aF66P002,15.372,2.33
2022,Otobi,NR17C2aF66P003,15.553,2.33
2022,Otobi,NR17C2aF66P014,24.311,2.66
2022,Otobi,NR17C2aF69P009,18.331,3
2022,Otobi,NR17C2aF6P006,16.127,2.67
2022,Otobi,NR17C2aF6P007,18.029,1.99
2022,Otobi,NR17C2aF6P030,18.543,2.33
2022,Otobi,NR17C2aF6P044,18.543,1.66
2022,Otobi,NR17C2aF6P045,14.436,2.67
2022,Otobi,NR17C2aF6P046,19.6,2.67
2022,Otobi,NR17C2aF70P001,15.13,1.99
2022,Otobi,NR17C2aF70P007,22.439,2
2022,Otobi,NR17C2aF70P008,17.546,2
2022,Otobi,NR17C2aF71P001,18.603,2.33
2022,Otobi,NR17C2aF79P001,15.583,1.33
2022,Otobi,NR17C2aF79P005,19.66,1.66
2022,Otobi,NR17C2aF79P007,13.197,1.67
2022,Otobi,NR17C2aF79P008,20.657,2
2022,Otobi,NR17C2aF79P016,17.274,2.33
2022,Otobi,NR17C2aF7P007,23.254,1.67
2022,Otobi,NR17C2aF7P008,22.318,1.66
2022,Otobi,NR17C2aF7P011,15.251,1.67
2022,Otobi,NR17C2aF7P013,14.707,1.66
2022,Otobi,NR17C2aF7P017,16.731,2
2022,Otobi,NR17C2aF7P018,19.026,1.66
2022,Otobi,NR17C2aF7P023,,2
2022,Otobi,NR17C2aF7P030,20.868,1.99
2022,Otobi,NR17C2aF7P034,12.744,1.99
2022,Otobi,NR17C2aF7P036,16.58,2
2022,Otobi,NR17C2aF7P044,17.003,3
2022,Otobi,NR17C2aF7P045,13.62,1.99
2022,Otobi,NR17C2aF7P050,14.073,2
2022,Otobi,NR17C2aF7P052,18.09,1.67
2022,Otobi,NR17C2aF7P058,17.546,3.33
2022,Otobi,NR17C2aF7P062,12.473,3.33
2022,Otobi,NR17C2aF7P065,16.731,2.67
2022,Otobi,NR17C2aF7P067,18.452,1.66
2022,Otobi,NR17C2aF7P070,14.858,2
2022,Otobi,NR17C2aF81P002,17.214,3.32
2022,Otobi,NR17C2aF81P003,19.056,2.67
2022,Otobi,NR17C2aF82P002,18.362,2.33
2022,Otobi,NR17C2aF82P008,17.184,2
2022,Otobi,NR17C2aF83P010,22.469,2
2022,Otobi,NR17C2aF83P018,14.949,2.33
2022,Otobi,NR17C2aF84P004,18.603,1.67
2022,Otobi,NR17C2aF87P010,20.898,1.67
2022,Otobi,NR17C2aF87P011,16.459,2.66
2022,Otobi,NR17C2aF89P002,14.979,2.67
2022,Otobi,NR17C2aF89P003,13.862,1.33
2022,Otobi,NR17C2aF89P008,19.479,2.67
2022,Otobi,NR17C2aF89P009,17.546,2
2022,Otobi,NR17C2aF89P010,15.644,2.66
2022,Otobi,NR17C2aF89P013,18.331,3.65
2022,Otobi,NR17C2aF89P014,18.271,1.99
2022,Otobi,NR17C2aF89P018,16.61,1.66
2022,Otobi,NR17C2aF89P020,15.342,2.33
2022,Otobi,NR17C2aF89P021,16.489,2
2022,Otobi,NR17C2aF89P028,17.365,1.67
2022,Otobi,NR17C2aF89P041,20.929,2.33
2022,Otobi,NR17C2aF89P045,13.228,2.66
2022,Otobi,NR17C2aF89P050,12.805,2.33
2022,Otobi,NR17C2aF89P054,15.523,4.65
2022,Otobi,NR17C2aF89P058,18.452,1.66
2022,Otobi,NR17C2aF89P067,17.033,2
2022,Otobi,NR17C2aF89P069,,1.99
2022,Otobi,NR17C2aF89P071,21.835,2.33
2022,Otobi,NR17C2aF89P088,22.016,2.33
2022,Otobi,NR17C2aF89P091,16.368,2.67
2022,Otobi,NR17C2aF89P096,10.57,2.67
2022,Otobi,NR17C2aF89P102,17.063,1.67
2022,Otobi,NR17C2aF90P007,16.791,2.67
2022,Otobi,NR17C2aF91P001,15.764,1.33
