Year,Location,Genotype,Amylose,Crude Fiber
2022,Otobi,NR17C2aF91P004,19.147,2.66
2022,Otobi,NR17C2aF91P006,16.67,2
2022,Otobi,NR17C2aF91P011,12.322,2
2022,Otobi,NR17C2aF92P001,21.714,2
2022,Otobi,NR17C2aF92P002,23.556,2.33
2022,Otobi,NR17C2aF92P003,11.325,2.33
2022,Otobi,NR17C2aF92P005,14.466,3.33
2022,Otobi,NR17C2aF93P009,20.627,2.67
2022,Otobi,NR17C2aF93P010,19.328,3
2022,Otobi,NR17C2aF94P013,21.684,2.33
2022,Otobi,NR17C2aF95P003,19.6,2.33
2022,Otobi,NR17C2aF95P009,14.798,2
2022,Otobi,NR17C2aF95P011,16.036,1.66
2022,Otobi,NR17C2aF95P015,18.633,2.66
2022,Otobi,NR17C2aF95P021,14.315,2.33
2022,Otobi,NR17C2aF96P004,19.358,2
2022,Otobi,NR17C2aF97P002,14.647,2.67
2022,Otobi,NR17C2aF98P001,17.848,2.33
2022,Otobi,NR17C2aF99P002,19.207,2
2022,Otobi,NR17C2aF9P010,12.82,31.67
2022,Otobi,NR17C2aF9P013,14.768,1.66
2022,Otobi,NR8082,21.291,2
2022,Otobi,TMEB419,20.174,2
2022,Otobi,TMEB7,16.58,2.33
