Year,Location,Genotype,Amylose,Crude Fiber
2022,Umudike,NR17C2aF89P010,24.0996,4
2022,Umudike,NR17C2aF89P013,19.781,1.667
2022,Umudike,NR17C2aF89P014,25.5039,2.658
2022,Umudike,NR17C2aF89P018,16.5194,2.667
2022,Umudike,NR17C2aF89P020,,4.333
2022,Umudike,NR17C2aF89P021,21.895,3
2022,Umudike,NR17C2aF89P028,26.274,2
2022,Umudike,NR17C2aF89P045,23.254,2.658
2022,Umudike,NR17C2aF89P050,16.5194,3.667
2022,Umudike,NR17C2aF89P058,25.3076,3.333
2022,Umudike,NR17C2aF89P067,14.6168,6.667
2022,Umudike,NR17C2aF89P069,25.1566,3.333
2022,Umudike,NR17C2aF89P084,23.5258,2.333
2022,Umudike,NR17C2aF89P088,23.3144,2.667
2022,Umudike,NR17C2aF89P091,26.0022,2.333
2022,Umudike,NR17C2aF89P096,23.9788,2.658
2022,Umudike,NR17C2aF89P102,14.5866,3.667
2022,Umudike,NR17C2aF90P001,24.311,3
2022,Umudike,NR17C2aF90P007,24.8546,4.333
2022,Umudike,NR17C2aF90P008,22.3782,2.99
2022,Umudike,NR17C2aF91P001,17.8482,2
2022,Umudike,NR17C2aF91P004,17.7878,4
2022,Umudike,NR17C2aF91P006,19.0562,2.667
2022,Umudike,NR17C2aF91P008,17.969,2
2022,Umudike,NR17C2aF91P011,21.6534,3
2022,Umudike,NR17C2aF92P001,18.5126,2.333
2022,Umudike,NR17C2aF92P002,19.0864,3
2022,Umudike,NR17C2aF92P003,,2.6665
2022,Umudike,NR17C2aF92P005,25.217,3
2022,Umudike,NR17C2aF93P010,28.1766,3.667
2022,Umudike,NR17C2aF94P013,17.1234,2.667
2022,Umudike,NR17C2aF95P003,23.2842,2.5
2022,Umudike,NR17C2aF95P009,22.2574,3.654
2022,Umudike,NR17C2aF95P015,25.5492,2
2022,Umudike,NR17C2aF95P021,22.2574,2.667
2022,Umudike,NR17C2aF97P002,20.083,1.993
2022,Umudike,NR17C2aF98P001,25.9871,3
2022,Umudike,NR17C2aF99P002,19.8716,2.658
2022,Umudike,NR17C2aF9P010,23.4352,1.993
2022,Umudike,NR17C2aF9P013,22.1366,
2022,Umudike,NR8082,20.2038,2.326
2022,Umudike,TMEB419,19.479,1.661
2022,Umudike,TMEB7,25.5794,2
