"","environment","location","year","Genotype","swelling.index","swelling.power","WAC","Bulk.Density"
"71","Umudike_2020","Umudike","2020","NR17C2aF65P027",1.98,6.86,480,0.81
"72","Umudike_2020","Umudike","2020","NR17C2aF82P008",2.32,7.74,474,0.77
"73","Umudike_2020","Umudike","2020","NR17C2aF89P002",2.24,7.8,496.5,0.81
"74","Otobi_2021","Otobi","2021","NR17C2aF103P001",2.14,7.52,374,0.861
"75","Otobi_2021","Otobi","2021","NR17C2aF10P001",2.227,8.475,364.5,0.904
"76","Otobi_2021","Otobi","2021","NR17C2aF10P002",2.047,9.335,381,0.937
"77","Otobi_2021","Otobi","2021","NR17C2aF10P006",2.082,7.86,464.5,0.858
"78","Otobi_2021","Otobi","2021","NR17C2aF10P016",1.936,9.35,452,0.909
"79","Otobi_2021","Otobi","2021","NR17C2aF10P017",NA,NA,427.5,0.791
"80","Otobi_2021","Otobi","2021","NR17C2aF10P021",2.123,9.245,534.5,0.938
"81","Otobi_2021","Otobi","2021","NR17C2aF10P025",1.95,6.935,397,0.858
"82","Otobi_2021","Otobi","2021","NR17C2aF114P002",NA,NA,368,0.882
"83","Otobi_2021","Otobi","2021","NR17C2aF114P004",1.581,10.015,348.5,0.955
"84","Otobi_2021","Otobi","2021","NR17C2aF120P002",2.017,7.935,428,0.857
"85","Otobi_2021","Otobi","2021","NR17C2aF121P001",2.257,7.55,323.5,0.882
"86","Otobi_2021","Otobi","2021","NR17C2aF12P001",1.817,8.675,406.5,0.88
"87","Otobi_2021","Otobi","2021","NR17C2aF13P001",2.349,8.265,371,0.909
"88","Otobi_2021","Otobi","2021","NR17C2aF14P014",2.086,9.45,452,0.816
"89","Otobi_2021","Otobi","2021","NR17C2aF14P016",2.392,8.45,352,0.936
"90","Otobi_2021","Otobi","2021","NR17C2aF15P003",2.409,8.35,345,0.917
"91","Otobi_2021","Otobi","2021","NR17C2aF15P011",1.875,8.89,470.5,0.881
"92","Otobi_2021","Otobi","2021","NR17C2aF15P016",1.814,7.975,412,0.884
"93","Otobi_2021","Otobi","2021","NR17C2aF15P022",2.081,7.89,423,0.769
"94","Otobi_2021","Otobi","2021","NR17C2aF15P032",2.001,7.64,426.5,0.828
"95","Otobi_2021","Otobi","2021","NR17C2aF15P041",2.16,9.005,382.5,0.934
"96","Otobi_2021","Otobi","2021","NR17C2aF16P003",1.933,8.02,345,0.868
"97","Otobi_2021","Otobi","2021","NR17C2aF16P004",2.102,9.53,452.5,0.889
"98","Otobi_2021","Otobi","2021","NR17C2aF16P010",2.38,7.12,345.5,0.862
"99","Otobi_2021","Otobi","2021","NR17C2aF16P013",1.734,8.5025,400,0.881
"100","Otobi_2021","Otobi","2021","NR17C2aF18P008",2.175,7.215,383,0.882
"101","Otobi_2021","Otobi","2021","NR17C2aF18P015",2.221,8.605,444,0.937
"102","Otobi_2021","Otobi","2021","NR17C2aF18P018",1.999,8.165,407.5,0.938
"103","Otobi_2021","Otobi","2021","NR17C2aF1P003",1.965,6.7,405,0.906
"104","Otobi_2021","Otobi","2021","NR17C2aF1P006",1.911,6.385,482,0.937
"105","Otobi_2021","Otobi","2021","NR17C2aF1P009",2.263,8.38,387,0.856
"106","Otobi_2021","Otobi","2021","NR17C2aF21P004",1.563,9.345,364.5,0.909
"107","Otobi_2021","Otobi","2021","NR17C2aF27P001",1.973,6.99,388.5,0.858
"108","Otobi_2021","Otobi","2021","NR17C2aF28P002",2.263,7.56,429.5,0.856
"109","Otobi_2021","Otobi","2021","NR17C2aF29P001",2.247,8.165,436,0.88
