"","X1","X2"
"187","UG15F163P002","250600533"
"188","UG15F251P005","250600600"
"189","F12R27P05","250593607"
"190","TME419","250107827"
"191","UG15F196P006","250602398"
"192","UG15F185P004","250602372"
"193","UG15F127P004","250602193"
"194","UG15F028P003","250602393"
"195","UG15F196P003","250602395"
"196","UG15F196P007","250602399"
"197","UG15F158P003","250601628"
"198","UG15F117P001","250601562"
"199","UG15F117P009","250601570"
"200","UG15F079P014","250601561"
"201","UG15F117P015","250601576"
"202","UG15F117P002","250601563"
"203","UG15F158P008","250601633"
"204","UG15F203P006","250602118"
"205","UG15F311P001","250602123"
"206","UG15F158P012","250601637"
"207","UG15F311P003","250602125"
"208","UG15F117P014","250601575"
"209","UG15F158P009","250601634"
"210","UG15F117P012","250601573"
"211","UG15F117P016","250601577"
"212","UG15F276P008","250601624"
"213","UG15F079P013","250601560"
"214","UG15F203P005","250602117"
"215","2013_10020_1","250164714"
"216","2013_20110_8","250164899"
"217","I090516","250099187"
"218","I980581","250099215"
"219","F118P008","250590057"
"220","TMS15F1156P0006","250518949"
"221","TMS15F1159P0001","250518960"
"222","TMS15F1154P0002","250518934"
"223","TMS15F1302P0027","250476693"
"224","TMS15F1305P0022","250476699"
"225","TMS15F1295P0010","250476684"
"226","TMS15F1158P0001","250518958"
"227","TMS15F1160P0010","250518971"
"228","TMS15F1305P0021","250476698"
"229","TMS15F1324P0004","250476746"
"230","TMS15F1154P0015","250518942"
"231","TMS15F1300P0002","250476689"
"232","TMS15F1318P0022","250476734"
"233","TMS15F1160P0004","250518965"
"234","TMS15F1159P0004","250518962"
"235","TMS15F1156P0001","250518945"
"236","TMS15F1300P0001","250476688"
"237","TMS15F1152P0007","250518902"
"238","TMS15F1351P0014","250476760"
"239","TMS15F1295P0008","250476682"
"240","UG15F031P001","250601001"
"241","TMS15F1318P0024","250476735"
"242","TMS15F1307P0001","250476703"
"243","TMS15F1295P0018","250476687"
"244","TMS15F1156P0014","250518954"
"245","TMS15F1153P0047","250518932"
"246","TMS15F1072P0018","250521120"
"247","TMS15F1080P0012","250521139"
"248","TMS15F1072P0012","250521118"
"249","TMS15F1077P0027","250521129"
"250","TMS15F1072P0006","250521114"
"251","TMS15F1072P0031","250521122"
"252","TMS15F1004P0001","250521063"
"253","TMS15F1080P0007","250521135"
"254","TMS15F1081P0003","250521142"
"255","F1P032","250589672"
"256","F1P039","250589633"
"257","UG15F325P007","250614163"
"258","F4P007","250589645"
"259","UG15F135P011","250614110"
"260","UG15F135P005","250614104"
"261","UG15F061P006","250614097"
"262","F1P018","250589655"
"263","F3P017","250589698"
"264","F4P002","250589700"
"265","F3P034","250589644"
"266","UG15F069P006","250614643"
"267","UG15F073P003","250614626"
"268","UG15F069P004","250614641"
"269","UG15F020P005","250614681"
"270","UG15F020P001","250614677"
"271","UG15F074P001","250614623"
"272","UG15F069P002","250614639"
"273","UG15F426P002","250614649"
"274","UG15F069P003","250614640"
"275","UG15F076P001","250614617"
"276","UG15F276P005","250601125"
"277","UG15F276P001","250601121"
"278","TMS15F1177P0004","250476294"
"279","UG15F031P021","250601100"
"280","F184C1bP001","CA7RRANXX:6:500078"
"281","F95C1bP002","CA7RRANXX:3:499753"
"282","F152C1bP005","CA7RRANXX:5:499956"
"283","F116C1bP003","CA7RRANXX:3:499838"
"284","F99C1bP001","CA7RRANXX:3:499788"
"285","F162C1bP007","CABJYANXX:7:505514"
"286","F100C1bP001","CA7RRANXX:3:499789"
"287","F116C1bP001","CA7RRANXX:3:499836"
"288","F165C1bP011","CABJYANXX:7:505548"
"289","F168C1bP001","CABJYANXX:7:505566"
"290","F159C1bP006","CABJYANXX:6:505482"
"291","F153C1bP053","CA7RRANXX:5:500027"
"292","F161C1bP001","CABJYANXX:6:505502"
"293","F165C1bP020","CABJYANXX:7:505557"
"294","F166C1bP003","CABJYANXX:7:505562"
"295","F122C1bP006","CA7RRANXX:4:499889"
"296","F94C1bP001","CA7RRANXX:3:499750"
"297","F163C1bP008","CABJYANXX:7:505524"
"298","F165C1bP015","CABJYANXX:7:505552"
"299","F170C1bP019","CA7RRANXX:6:500037"
"300","F162C1bP008","CABJYANXX:7:505515"
"301","F154C1bP012","CABJYANXX:6:505418"
"302","F163C1bP012","CABJYANXX:7:505528"
"303","F152C1bP004","CA7RRANXX:5:499955"
"304","F152C1bP001","CA7RRANXX:5:499952"
"305","F153C1bP014","CA7RRANXX:5:499987"
"306","F170C1bP020","CA7RRANXX:6:500038"
"307","F116C1bP008","CA7RRANXX:3:499843"
"308","F152C1bP017","CA7RRANXX:5:499968"
"309","F116C1bP004","CA7RRANXX:3:499839"
"310","F163C1bP009","CABJYANXX:7:505525"
"311","F137C1bP008","CABJYANXX:5:505254"
"312","F144C1bP005","CABJYANXX:5:505303"
"313","F117C1bP002","CA7RRANXX:4:499854"
"314","F168C1bP002","CABJYANXX:7:505567"
"315","F122C1bP007","CA7RRANXX:4:499890"
"316","F64C1bP045","CABJYANXX:2:504966"
"317","F41C1bP002","CABV7ANXX:7:504696"
"318","F63C1bP007","CABJYANXX:1:504914"
"319","F10C1bP010","CABV7ANXX:5:503883"
"320","F86C1bP005","CABJYANXX:3:505119"
"321","F55C1bP017","CABV7ANXX:8:504750"
"322","F75C1bP004","CABJYANXX:3:505064"
"323","F68C1bP004","CABJYANXX:2:505016"
"324","F27C1bP001","CABV7ANXX:6:504577"
"325","F56C1bP018","CABV7ANXX:8:504790"
"326","F50C1bP002","CABV7ANXX:7:504725"
"327","F10C1bP007","CABV7ANXX:5:503880"
"328","F43C1bP001","CABV7ANXX:7:504701"
"329","F10C1bP008","CABV7ANXX:5:503881"
"330","F64C1bP028","CABJYANXX:2:504949"
"331","F58C1bP002","CABJYANXX:1:504839"
"332","F58C1bP013","CABJYANXX:1:504850"
"333","F63C1bP006","CABJYANXX:1:504913"
"334","F55C1bP011","CABV7ANXX:8:504744"
"335","F68C1bP003","CABJYANXX:2:505015"
"336","F92C1bP007","CABJYANXX:4:505219"
"337","F52C1bP001","CABV7ANXX:7:504731"
"338","F29C1bP001","CABV7ANXX:6:504597"
"339","F86C1bP002","CABJYANXX:3:505116"
"340","F62C1bP021","CABJYANXX:1:504905"
"341","F11C1bP017","CABV7ANXX:5:503908"
"342","F55C1bP012","CABV7ANXX:8:504745"
"343","F93C1bP001","CABJYANXX:4:505220"
"344","F63C1bP002","CABJYANXX:1:504909"
"345","F68C1bP007","CABJYANXX:2:505019"
"346","F68C1bP009","CABJYANXX:2:505021"
"347","F50C1bP003","CABV7ANXX:7:504726"
"348","F77C1bP003","CABJYANXX:3:505087"
"349","F62C1bP013","CABJYANXX:1:504897"
"350","F81C1bP001","CABJYANXX:3:505098"
"351","F62C1bP011","CABJYANXX:1:504895"
"352","F6C1bP007","CABV7ANXX:4:503813"
"353","F9C1bP002","CABV7ANXX:4:503870"
"354","F9C1bP001","CABV7ANXX:4:503869"
"355","NR17F5C2aP018",""
"356","NR17F5C2aP019",""
"357","NR17F5C2aP025",""
"358","NR17F5C2aP026",""
"359","NR17F5C2aP028",""
"360","NR17F5C2aP021",""
"361","NR17F5C2aP022",""
"362","NR17F5C2aP024",""
"363","NR17F5C2aP029",""
"364","NR17F71C2aP001",""
"365","NR17F71C2aP002",""
"366","NR17F49C2aP006",""
"367","NR17F9C2aP006",""
"368","NR17F9C2aP007",""
"369","NR17F5C2aP003",""
"370","NR17F5C2aP004",""
"371","NR17F5C2aP005",""
"372","NR17F5C2aP001",""
"373","NR17F5C2aP002",""
"374","NR17F1C2aP002",""
"375","NR17F1C2aP003",""
"376","NR17F1C2aP005",""
"377","NR17F1C2aP006",""
"378","NR17F1C2aP007",""
"379","NR17F5C2aP007",""
"380","NR17F1C2aP008",""
"381","NR17F5C2aP008",""
"382","NR17F5C2aP009",""
"383","NR17F1C2aP009",""
"384","NR17F5C2aP014",""
"385","NR17F5C2aP015",""
"386","NR17F5C2aP016",""
"387","NR17F5C2aP017",""
"388","NR17F1C2aP010",""
"389","NR17F5C2aP010",""
"390","NR17F5C2aP011",""
"391","NR17F1C2aP011",""
"392","NR17F5C2aP012",""
"393","NR17F5C2aP013",""
"394","NR17F15C2aP011",""
"395","NR17F87C2aP009",""
"396","NR17F2C2aP001",""
"397","NR17F4C2aP002",""
"398","NR17F3C2aP004",""
"399","NR17F3C2aP001",""
"400","NR17F3C2aP002",""
"401","NR17F3C2aP007",""
"402","NR17F3C2aP008",""
"403","NR17F3C2aP006",""
"404","NR17F3C2aP009",""
"405","NR17F3C2aP010",""
"406","NR17F62C2aP017",""
"407","NR17F6C2aP017",""
"408","NR17F89C2aP094",""
"409","NR17F89C2aP095",""
"410","NR17F95C2aP006",""
"411","NR17F95C2aP007",""
"412","DRC_083","250228052"
"413","DRC_092","250228061"
"414","DRC_021","250227990"
"415","DRC_012","250227981"
"416","DRC_030","250227999"
"417","DRC_038","250228007"
"418","DRC_056","250228025"
"419","DRC_074","250228043"
"420","Cameroon_019","250227861"
"421","Cameroon_074","250227916"
"422","Cameroon_065","250227907"
"423","DRC_047","250228016"
"424","Cameroon_028","250227870"
"425","Cameroon_018","250227860"
"426","Cameroon_045","250227887"
"427","Cameroon_083","250227925"
"428","Cameroon_020","250227862"
"429","DRC_031","250228000"
"430","DRC_066","250228035"
"431","DRC_004","250227973"
"432","DRC_093","250228062"
