Genotype,swelling index,swelling power,WAC,Bulk Density
NR17C2aF84P004,2.293,8.14,396.5,0.788
NR17C2aF87P010,1.833,7.835,381.5,0.857
NR17C2aF87P011,2.528,7.985,415.5,0.909
NR17C2aF89P001,2.769,7.69,342,0.937
NR17C2aF89P002,2.233,7.225,427,0.884
NR17C2aF89P003,2.014,8.035,405,0.844
NR17C2aF89P009,1.762,9.155,414,0.881
NR17C2aF89P010,2.098,8.765,452.5,0.908
NR17C2aF89P013,1.524,7.73,324,0.909
NR17C2aF89P014,1.948,7.455,417.5,0.958
NR17C2aF89P018,2.193,8.47,447,0.896
NR17C2aF89P020,1.82,8.75,377.5,0.964
NR17C2aF89P021,2.167,7.465,346.5,0.9
NR17C2aF89P028,2.447,9.245,394.5,0.905
NR17C2aF89P041,2.057,8.035,411.5,0.772
NR17C2aF89P045,2.5,6.78,425.5,0.969
NR17C2aF89P050,1.797,7.09,416,0.937
NR17C2aF89P054,1.78,8.575,373.5,0.909
NR17C2aF89P056,2.42,6.855,388,0.824
NR17C2aF89P058,2.26,8.335,311.5,0.908
NR17C2aF89P067,1.967,9.71,493,0.884
NR17C2aF89P069,2.439,8.075,348.5,0.983
NR17C2aF89P071,2.12,8.225,429.5,0.778
NR17C2aF89P084,2.001,7.975,411.5,0.883
NR17C2aF89P088,1.989,8.41,363,0.908
NR17C2aF89P091,1.709,9.03,467.5,0.933
NR17C2aF89P096,1.872,7.66,353.5,0.833
NR17C2aF89P102,1.986,7.79,315,0.909
NR17C2aF90P001,1.939,7.875,434.5,0.88
NR17C2aF90P007,1.93,8.33,329.5,0.934
NR17C2aF91P001,2.217,7.855,392.5,0.909
NR17C2aF91P004,1.689,11.21,347,0.908
NR17C2aF91P006,2.2,8.88,466.5,0.851
NR17C2aF91P008,2.445,8.35,413,0.852
NR17C2aF91P011,1.854,8.56,371,0.909
NR17C2aF92P001,1.88,7.875,370.5,0.907
NR17C2aF92P002,1.949,8.975,392.5,0.908
NR17C2aF92P003,2.781,9.435,484.5,0.858
NR17C2aF92P005,2.039,7.115,457,0.858
NR17C2aF93P009,1.985,8.1925,403,0.906
NR17C2aF93P010,1.862,8.8,502,0.879
NR17C2aF94P013,2.21,8.11,457.5,0.857
NR17C2aF95P003,2.044,7.135,372.5,0.996
NR17C2aF95P011,1.668,9.79,399,0.867
NR17C2aF95P015,2.119,8.025,405,0.953
NR17C2aF95P021,2.44,7.835,360.5,0.909
