Genotype,swelling index,swelling power,wac%,Bulk Density 
NR17C2aF87P011,2.5,7.581,518,0.732
NR17C2aF89P002,2.682,7.237,474,0.811
NR17C2aF89P003,2.625,7.969,518,0.909
NR17C2aF89P008,2.696,7.095,463,0.769
NR17C2aF89P009,2.097,6.545,466,0.826
NR17C2aF89P010,2.308,6.938,561,0.851
NR17C2aF89P013,2.692,6.742,554,0.769
NR17C2aF89P014,2.56,6.505,487,0.857
NR17C2aF89P018,2.6,6.918,533,0.857
NR17C2aF89P020,3.25,6.383,483,0.81
NR17C2aF89P021,2.905,7.402,494,0.856
NR17C2aF89P028,3.444,5.747,550,0.755
NR17C2aF89P041,3.25,6.632,574,0.789
NR17C2aF89P045,2.348,6.5,339,0.736
NR17C2aF89P050,2.391,6.402,491,0.822
NR17C2aF89P054,2.708,7.812,544,0.736
NR17C2aF89P058,2.538,6.879,432,0.811
NR17C2aF89P067,3.524,7.2,602,0.723
NR17C2aF89P069,2.48,6.303,520,0.857
NR17C2aF89P071,2.385,7.134,466,0.779
NR17C2aF89P088,2.385,6.602,487,0.769
NR17C2aF89P091,3.333,8.191,483,0.824
NR17C2aF89P096,2.64,5.798,244,0.8
NR17C2aF89P102,2.6,7.326,535,0.678
NR17C2aF90P007,3,8.744,561,0.769
NR17C2aF91P001,2.609,7.404,503,0.833
NR17C2aF91P004,2.6,7.697,536,0.768
NR17C2aF91P006,2.88,7.635,531,0.831
NR17C2aF91P011,2.609,7.344,584,0.833
NR17C2aF92P001,2.826,6.384,502,0.811
NR17C2aF92P002,2.318,6.235,528,0.85
NR17C2aF92P003,3.15,8.915,575,0.774
NR17C2aF92P005,2.64,7.866,505,0.829
NR17C2aF93P009,2.542,8.042,513,0.785
NR17C2aF93P010,2.577,7.663,509,0.831
NR17C2aF94P013,2.808,7.899,555,0.76
NR17C2aF95P003,2.5,7.227,480,0.785
NR17C2aF95P009,2.375,6.432,488,0.75
NR17C2aF95P011,2.6,7.615,468,0.76
NR17C2aF95P015,2.84,7.412,605,0.732
NR17C2aF95P021,2.625,6.859,526,0.834
NR17C2aF96P004,2.56,6.949,509,0.79
NR17C2aF97P002,2.826,6.96,515,0.789
NR17C2aF98P001,2.708,6.929,490,0.785
NR17C2aF99P002,2.6,7.293,522,0.833
NR17C2aF9P001,3.2,7.968,570,0.866
NR17C2aF9P010,3.1,7.495,548,0.839
NR17C2aF9P013,2.222,7.265,441,0.806
NR8082,3.333,7.082,538,0.822
TME419,2.593,7.121,504,0.769
TMEB7,2.65,6.925,455,0.834
