"","x"
"214","NR17C2aF89P069"
"215","NR17C2aF89P071"
"216","NR17C2aF89P084"
"217","NR17C2aF89P088"
"218","NR17C2aF89P091"
"219","NR17C2aF89P096"
"220","NR17C2aF89P102"
"221","NR17C2aF90P001"
"222","NR17C2aF90P007"
"223","NR17C2aF91P001"
"224","NR17C2aF91P004"
"225","NR17C2aF91P006"
"226","NR17C2aF91P008"
"227","NR17C2aF91P011"
"228","NR17C2aF92P001"
"229","NR17C2aF92P002"
"230","NR17C2aF92P003"
"231","NR17C2aF92P005"
"232","NR17C2aF93P009"
"233","NR17C2aF93P010"
"234","NR17C2aF94P013"
"235","NR17C2aF95P003"
"236","NR17C2aF95P011"
"237","NR17C2aF95P015"
"238","NR17C2aF95P021"
"239","NR17C2aF96P004"
"240","NR17C2aF97P002"
"241","NR17C2aF99P002"
"242","NR17C2aF9P010"
"243","NR17C2aF9P013"
"244","IITA-TMS-IBA30572"
"245","NR8082"
"246","TMEB419"
"247","TMEB7"
"248","NR17C2aF103P001"
"249","NR17C2aF10P001"
"250","NR17C2aF10P002"
"251","NR17C2aF10P006"
"252","NR17C2aF10P011"
"253","NR17C2aF10P016"
"254","NR17C2aF10P021"
"255","NR17C2aF10P025"
"256","NR17C2aF114P002"
"257","NR17C2aF114P004"
"258","NR17C2aF118P001"
"259","NR17C2aF121P005"
"260","NR17C2aF12P001"
"261","NR17C2aF13P001"
"262","NR17C2aF14P016"
"263","NR17C2aF15P003"
"264","NR17C2aF15P011"
"265","NR17C2aF15P016"
"266","NR17C2aF15P022"
"267","NR17C2aF15P032"
"268","NR17C2aF15P041"
"269","NR17C2aF16P003"
"270","NR17C2aF16P010"
"271","NR17C2aF16P013"
"272","NR17C2aF18P008"
"273","NR17C2aF18P018"
"274","NR17C2aF19P002"
"275","NR17C2aF1P003"
"276","NR17C2aF1P006"
"277","NR17C2aF21P004"
"278","NR17C2aF27P001"
"279","NR17C2aF28P002"
"280","NR17C2aF29P001"
"281","NR17C2aF39P002"
"282","NR17C2aF49P006"
"283","NR17C2aF54P001"
"284","NR17C2aF54P002"
"285","NR17C2aF54P005"
"286","NR17C2aF54P010"
"287","NR17C2aF54P012"
"288","NR17C2aF5P017"
"289","NR17C2aF5P026"
"290","NR17C2aF60P003"
"291","NR17C2aF60P006"
"292","NR17C2aF60P007"
"293","NR17C2aF60P009"
"294","NR17C2aF60P010"
"295","NR17C2aF60P015"
"296","NR17C2aF60P019"
"297","NR17C2aF60P020"
"298","NR17C2aF61P003"
"299","NR17C2aF61P004"
"300","NR17C2aF61P008"
"301","NR17C2aF61P010"
"302","NR17C2aF61P011"
"303","NR17C2aF61P013"
"304","NR17C2aF61P015"
"305","NR17C2aF61P016"
"306","NR17C2aF62P020"
"307","NR17C2aF62P024"
"308","NR17C2aF62P027"
"309","NR17C2aF65P009"
"310","NR17C2aF65P010"
"311","NR17C2aF65P017"
"312","NR17C2aF65P031"
"313","NR17C2aF66P014"
"314","NR17C2aF69P009"
"315","NR17C2aF6P005"
"316","NR17C2aF6P007"
"317","NR17C2aF6P030"
"318","NR17C2aF6P037"
"319","NR17C2aF6P044"
"320","NR17C2aF6P045"
"321","NR17C2aF70P007"
"322","NR17C2aF70P008"
"323","NR17C2aF79P001"
"324","NR17C2aF79P005"
"325","NR17C2aF79P008"
"326","NR17C2aF79P016"
"327","NR17C2aF7P007"
"328","NR17C2aF7P008"
"329","NR17C2aF7P023"
"330","NR17C2aF7P030"
"331","NR17C2aF7P036"
"332","NR17C2aF7P044"
"333","NR17C2aF7P045"
"334","NR17C2aF7P050"
"335","NR17C2aF7P052"
"336","NR17C2aF7P058"
"337","NR17C2aF7P065"
"338","NR17C2aF7P070"
"339","NR17C2aF81P003"
"340","NR17C2aF82P008"
"341","NR17C2aF83P010"
"342","NR17C2aF83P018"
"343","NR17C2aF84P004"
"344","NR17C2aF87P010"
"345","NR17C2aF89P002"
"346","NR17C2aF89P003"
"347","NR17C2aF89P009"
"348","NR17C2aF89P010"
"349","NR17C2aF89P018"
"350","NR17C2aF89P020"
"351","NR17C2aF89P028"
"352","NR17C2aF89P034"
"353","NR17C2aF89P050"
"354","NR17C2aF89P054"
"355","NR17C2aF89P058"
"356","NR17C2aF89P067"
"357","NR17C2aF89P069"
"358","NR17C2aF89P071"
"359","NR17C2aF89P088"
"360","NR17C2aF89P096"
"361","NR17C2aF90P001"
"362","NR17C2aF90P007"
"363","NR17C2aF90P008"
"364","NR17C2aF91P004"
"365","NR17C2aF91P006"
"366","NR17C2aF92P001"
"367","NR17C2aF92P003"
"368","NR17C2aF92P005"
"369","NR17C2aF93P010"
"370","NR17C2aF94P013"
"371","NR17C2aF95P003"
"372","NR17C2aF95P009"
"373","NR17C2aF95P011"
"374","NR17C2aF97P002"
"375","NR17C2aF98P001"
"376","NR17C2aF99P002"
"377","NR17C2aF9P010"
"378","NR17C2aF9P013"
"379","TMEB419"
"380","TMEB7"
"381","IITA-TMS-IBA30572"
"382","NR17C2aF103P001"
"383","NR17C2aF10P001"
"384","NR17C2aF10P002"
"385","NR17C2aF10P006"
"386","NR17C2aF10P016"
"387","NR17C2aF10P017"
"388","NR17C2aF10P021"
"389","NR17C2aF10P025"
"390","NR17C2aF114P004"
"391","NR17C2aF120P002"
"392","NR17C2aF121P001"
"393","NR17C2aF121P005"
"394","NR17C2aF12P001"
"395","NR17C2aF13P001"
"396","NR17C2aF14P014"
"397","NR17C2aF14P016"
"398","NR17C2aF15P003"
"399","NR17C2aF15P011"
"400","NR17C2aF15P016"
"401","NR17C2aF15P022"
"402","NR17C2aF15P032"
"403","NR17C2aF16P003"
"404","NR17C2aF16P004"
"405","NR17C2aF16P010"
"406","NR17C2aF16P013"
"407","NR17C2aF18P008"
"408","NR17C2aF18P015"
"409","NR17C2aF18P018"
"410","NR17C2aF19P002"
"411","NR17C2aF1P003"
"412","NR17C2aF1P006"
"413","NR17C2aF1P009"
"414","NR17C2aF21P004"
"415","NR17C2aF27P001"
"416","NR17C2aF28P002"
"417","NR17C2aF29P001"
"418","NR17C2aF33P002"
"419","NR17C2aF33P003"
"420","NR17C2aF35P004"
"421","NR17C2aF37P001"
"422","NR17C2aF39P002"
"423","NR17C2aF40P004"
"424","NR17C2aF46P012"
"425","NR17C2aF49P006"
"426","NR17C2aF54P001"
"427","NR17C2aF54P002"
"428","NR17C2aF54P010"
"429","NR17C2aF54P015"
"430","NR17C2aF5P017"
"431","NR17C2aF5P026"
"432","NR17C2aF60P003"
"433","NR17C2aF60P006"
"434","NR17C2aF60P007"
"435","NR17C2aF60P009"
"436","NR17C2aF60P010"
"437","NR17C2aF60P012"
"438","NR17C2aF60P015"
"439","NR17C2aF60P019"
"440","NR17C2aF60P020"
"441","NR17C2aF61P002"
"442","NR17C2aF61P003"
"443","NR17C2aF61P004"
"444","NR17C2aF61P006"
"445","NR17C2aF61P007"
"446","NR17C2aF61P008"
"447","NR17C2aF61P009"
"448","NR17C2aF61P010"
"449","NR17C2aF61P011"
"450","NR17C2aF61P013"
"451","NR17C2aF61P015"
"452","NR17C2aF61P016"
"453","NR17C2aF62P015"
"454","NR17C2aF62P020"
"455","NR17C2aF62P027"
"456","NR17C2aF65P009"
"457","NR17C2aF65P020"
"458","NR17C2aF65P024"
"459","NR17C2aF65P027"
"460","NR17C2aF65P031"
"461","NR17C2aF66P002"
"462","NR17C2aF66P003"
"463","NR17C2aF66P014"
"464","NR17C2aF69P009"
"465","NR17C2aF6P006"
"466","NR17C2aF6P007"
"467","NR17C2aF6P030"
"468","NR17C2aF6P044"
"469","NR17C2aF6P045"
"470","NR17C2aF6P046"
"471","NR17C2aF70P001"
"472","NR17C2aF70P007"
"473","NR17C2aF70P008"
"474","NR17C2aF71P001"
"475","NR17C2aF79P001"
"476","NR17C2aF79P005"
"477","NR17C2aF79P007"
"478","NR17C2aF79P008"
"479","NR17C2aF79P016"
"480","NR17C2aF7P007"
"481","NR17C2aF7P008"
"482","NR17C2aF7P011"
"483","NR17C2aF7P013"
"484","NR17C2aF7P017"
"485","NR17C2aF7P018"
"486","NR17C2aF7P023"
"487","NR17C2aF7P030"
"488","NR17C2aF7P034"
"489","NR17C2aF7P036"
"490","NR17C2aF7P044"
"491","NR17C2aF7P045"
"492","NR17C2aF7P050"
"493","NR17C2aF7P052"
"494","NR17C2aF7P058"
"495","NR17C2aF7P062"
"496","NR17C2aF7P065"
"497","NR17C2aF7P067"
"498","NR17C2aF7P070"
"499","NR17C2aF81P002"
"500","NR17C2aF81P003"
"501","NR17C2aF82P002"
"502","NR17C2aF82P008"
"503","NR17C2aF83P010"
"504","NR17C2aF83P018"
"505","NR17C2aF84P004"
"506","NR17C2aF87P010"
"507","NR17C2aF87P011"
"508","NR17C2aF89P002"
"509","NR17C2aF89P003"
"510","NR17C2aF89P008"
"511","NR17C2aF89P009"
"512","NR17C2aF89P010"
"513","NR17C2aF89P013"
"514","NR17C2aF89P014"
"515","NR17C2aF89P018"
"516","NR17C2aF89P020"
"517","NR17C2aF89P021"
"518","NR17C2aF89P028"
"519","NR17C2aF89P041"
"520","NR17C2aF89P045"
"521","NR17C2aF89P050"
"522","NR17C2aF89P054"
"523","NR17C2aF89P058"
"524","NR17C2aF89P067"
"525","NR17C2aF89P069"
"526","NR17C2aF89P071"
"527","NR17C2aF89P088"
"528","NR17C2aF89P091"
"529","NR17C2aF89P096"
"530","NR17C2aF89P102"
"531","NR17C2aF90P007"
"532","NR17C2aF91P001"
"533","NR17C2aF91P004"
"534","NR17C2aF91P006"
"535","NR17C2aF91P011"
"536","NR17C2aF92P001"
"537","NR17C2aF92P002"
"538","NR17C2aF92P003"
"539","NR17C2aF92P005"
"540","NR17C2aF93P009"
"541","NR17C2aF93P010"
"542","NR17C2aF94P013"
"543","NR17C2aF95P003"
"544","NR17C2aF95P009"
"545","NR17C2aF95P011"
"546","NR17C2aF95P015"
"547","NR17C2aF95P021"
"548","NR17C2aF96P004"
"549","NR17C2aF97P002"
"550","NR17C2aF98P001"
"551","NR17C2aF99P002"
"552","NR17C2aF9P010"
"553","NR17C2aF9P013"
"554","NR8082"
"555","TMEB419"
"556","TMEB7"
"557","IITA-TMS-IBA30572"
"558","NR17C2aF103P001"
"559","NR17C2aF10P001"
"560","NR17C2aF10P002"
"561","NR17C2aF10P006"
"562","NR17C2aF10P011"
"563","NR17C2aF10P016"
"564","NR17C2aF10P017"
"565","NR17C2aF10P021"
"566","NR17C2aF10P025"
"567","NR17C2aF114P002"
"568","NR17C2aF114P004"
"569","NR17C2aF120P002"
"570","NR17C2aF121P005"
"571","NR17C2aF12P001"
"572","NR17C2aF13P001"
"573","NR17C2aF14P016"
"574","NR17C2aF15P003"
"575","NR17C2aF15P011"
"576","NR17C2aF15P016"
"577","NR17C2aF15P022"
"578","NR17C2aF15P032"
"579","NR17C2aF15P041"
"580","NR17C2aF16P003"
"581","NR17C2aF16P010"
"582","NR17C2aF16P013"
"583","NR17C2aF18P008"
"584","NR17C2aF18P015"
"585","NR17C2aF18P018"
"586","NR17C2aF19P002"
"587","NR17C2aF1P003"
"588","NR17C2aF1P006"
"589","NR17C2aF1P009"
"590","NR17C2aF21P004"
"591","NR17C2aF28P002"
"592","NR17C2aF29P001"
"593","NR17C2aF33P002"
"594","NR17C2aF33P003"
"595","NR17C2aF35P004"
"596","NR17C2aF39P002"
"597","NR17C2aF40P004"
"598","NR17C2aF46P012"
"599","NR17C2aF49P006"
"600","NR17C2aF54P001"
"601","NR17C2aF54P002"
"602","NR17C2aF54P005"
"603","NR17C2aF54P010"
"604","NR17C2aF54P012"
"605","NR17C2aF5P017"
"606","NR17C2aF5P026"
"607","NR17C2aF60P003"
"608","NR17C2aF60P006"
"609","NR17C2aF60P007"
"610","NR17C2aF60P009"
"611","NR17C2aF60P010"
"612","NR17C2aF60P012"
"613","NR17C2aF60P015"
"614","NR17C2aF60P019"
"615","NR17C2aF60P020"
"616","NR17C2aF61P002"
"617","NR17C2aF61P004"
"618","NR17C2aF61P006"
"619","NR17C2aF61P007"
"620","NR17C2aF61P009"
"621","NR17C2aF61P010"
"622","NR17C2aF61P011"
"623","NR17C2aF61P013"
"624","NR17C2aF61P015"
"625","NR17C2aF62P015"
"626","NR17C2aF62P020"
"627","NR17C2aF62P024"
"628","NR17C2aF65P009"
"629","NR17C2aF65P017"
"630","NR17C2aF65P020"
"631","NR17C2aF65P024"
"632","NR17C2aF65P027"
"633","NR17C2aF66P014"
"634","NR17C2aF69P009"
"635","NR17C2aF6P005"
"636","NR17C2aF6P007"
"637","NR17C2aF6P030"
"638","NR17C2aF6P044"
"639","NR17C2aF6P045"
"640","NR17C2aF6P046"
"641","NR17C2aF70P001"
"642","NR17C2aF70P007"
"643","NR17C2aF70P008"
"644","NR17C2aF79P001"
"645","NR17C2aF79P005"
"646","NR17C2aF79P007"
"647","NR17C2aF79P016"
"648","NR17C2aF7P007"
"649","NR17C2aF7P008"
"650","NR17C2aF7P023"
"651","NR17C2aF7P030"
"652","NR17C2aF7P044"
"653","NR17C2aF7P045"
"654","NR17C2aF7P052"
"655","NR17C2aF7P058"
"656","NR17C2aF7P062"
"657","NR17C2aF7P065"
"658","NR17C2aF7P067"
"659","NR17C2aF7P070"
"660","NR17C2aF7P071"
"661","NR17C2aF81P002"
"662","NR17C2aF81P003"
"663","NR17C2aF82P002"
"664","NR17C2aF82P008"
"665","NR17C2aF83P018"
"666","NR17C2aF84P004"
"667","NR17C2aF87P010"
"668","NR17C2aF87P011"
"669","NR17C2aF89P008"
"670","NR17C2aF89P009"
"671","NR17C2aF89P010"
"672","NR17C2aF89P013"
"673","NR17C2aF89P014"
"674","NR17C2aF89P018"
"675","NR17C2aF89P020"
"676","NR17C2aF89P021"
"677","NR17C2aF89P028"
"678","NR17C2aF89P045"
"679","NR17C2aF89P050"
"680","NR17C2aF89P058"
"681","NR17C2aF89P067"
"682","NR17C2aF89P069"
"683","NR17C2aF89P084"
"684","NR17C2aF89P088"
"685","NR17C2aF89P091"
"686","NR17C2aF89P096"
"687","NR17C2aF89P102"
"688","NR17C2aF90P001"
"689","NR17C2aF90P007"
"690","NR17C2aF90P008"
"691","NR17C2aF91P001"
"692","NR17C2aF91P004"
"693","NR17C2aF91P006"
"694","NR17C2aF91P008"
"695","NR17C2aF91P011"
"696","NR17C2aF92P001"
"697","NR17C2aF92P002"
