"","x"
"214","NR8082"
"215","TMEB419"
"216","TMEB7"
"217","IITA-TMS-IBA30572"
"218","NR17C2aF103P001"
"219","NR17C2aF10P001"
"220","NR17C2aF10P002"
"221","NR17C2aF10P006"
"222","NR17C2aF10P016"
"223","NR17C2aF10P017"
"224","NR17C2aF10P021"
"225","NR17C2aF10P025"
"226","NR17C2aF114P004"
"227","NR17C2aF120P002"
"228","NR17C2aF121P001"
"229","NR17C2aF121P005"
"230","NR17C2aF12P001"
"231","NR17C2aF13P001"
"232","NR17C2aF14P014"
"233","NR17C2aF14P016"
"234","NR17C2aF15P003"
"235","NR17C2aF15P011"
"236","NR17C2aF15P016"
"237","NR17C2aF15P022"
"238","NR17C2aF15P032"
"239","NR17C2aF16P003"
"240","NR17C2aF16P004"
"241","NR17C2aF16P010"
"242","NR17C2aF16P013"
"243","NR17C2aF18P008"
"244","NR17C2aF18P015"
"245","NR17C2aF18P018"
"246","NR17C2aF19P002"
"247","NR17C2aF1P003"
"248","NR17C2aF1P006"
"249","NR17C2aF1P009"
"250","NR17C2aF21P004"
"251","NR17C2aF27P001"
"252","NR17C2aF28P002"
"253","NR17C2aF29P001"
"254","NR17C2aF33P002"
"255","NR17C2aF33P003"
"256","NR17C2aF35P004"
"257","NR17C2aF37P001"
"258","NR17C2aF39P002"
"259","NR17C2aF40P004"
"260","NR17C2aF46P012"
"261","NR17C2aF49P006"
"262","NR17C2aF54P001"
"263","NR17C2aF54P002"
"264","NR17C2aF54P010"
"265","NR17C2aF54P015"
"266","NR17C2aF5P017"
"267","NR17C2aF5P026"
"268","NR17C2aF60P003"
"269","NR17C2aF60P006"
"270","NR17C2aF60P007"
"271","NR17C2aF60P009"
"272","NR17C2aF60P010"
"273","NR17C2aF60P012"
"274","NR17C2aF60P015"
"275","NR17C2aF60P019"
"276","NR17C2aF60P020"
"277","NR17C2aF61P002"
"278","NR17C2aF61P003"
"279","NR17C2aF61P004"
"280","NR17C2aF61P006"
"281","NR17C2aF61P007"
"282","NR17C2aF61P008"
"283","NR17C2aF61P009"
"284","NR17C2aF61P010"
"285","NR17C2aF61P011"
"286","NR17C2aF61P013"
"287","NR17C2aF61P015"
"288","NR17C2aF61P016"
"289","NR17C2aF62P015"
"290","NR17C2aF62P020"
"291","NR17C2aF62P027"
"292","NR17C2aF65P009"
"293","NR17C2aF65P020"
"294","NR17C2aF65P024"
"295","NR17C2aF65P027"
"296","NR17C2aF65P031"
"297","NR17C2aF66P002"
"298","NR17C2aF66P003"
"299","NR17C2aF66P014"
"300","NR17C2aF69P009"
"301","NR17C2aF6P006"
"302","NR17C2aF6P007"
"303","NR17C2aF6P030"
"304","NR17C2aF6P044"
"305","NR17C2aF6P045"
"306","NR17C2aF6P046"
"307","NR17C2aF70P001"
"308","NR17C2aF70P007"
"309","NR17C2aF70P008"
"310","NR17C2aF71P001"
"311","NR17C2aF79P001"
"312","NR17C2aF79P005"
"313","NR17C2aF79P007"
"314","NR17C2aF79P008"
"315","NR17C2aF79P016"
"316","NR17C2aF7P007"
"317","NR17C2aF7P008"
"318","NR17C2aF7P011"
"319","NR17C2aF7P013"
"320","NR17C2aF7P017"
"321","NR17C2aF7P018"
"322","NR17C2aF7P023"
"323","NR17C2aF7P030"
"324","NR17C2aF7P034"
"325","NR17C2aF7P036"
"326","NR17C2aF7P044"
"327","NR17C2aF7P045"
"328","NR17C2aF7P050"
"329","NR17C2aF7P052"
"330","NR17C2aF7P058"
"331","NR17C2aF7P062"
"332","NR17C2aF7P065"
"333","NR17C2aF7P067"
"334","NR17C2aF7P070"
"335","NR17C2aF81P002"
"336","NR17C2aF81P003"
"337","NR17C2aF82P002"
"338","NR17C2aF82P008"
"339","NR17C2aF83P010"
"340","NR17C2aF83P018"
"341","NR17C2aF84P004"
"342","NR17C2aF87P010"
"343","NR17C2aF87P011"
"344","NR17C2aF89P002"
"345","NR17C2aF89P003"
"346","NR17C2aF89P008"
"347","NR17C2aF89P009"
"348","NR17C2aF89P010"
"349","NR17C2aF89P013"
"350","NR17C2aF89P014"
"351","NR17C2aF89P018"
"352","NR17C2aF89P020"
"353","NR17C2aF89P021"
"354","NR17C2aF89P028"
"355","NR17C2aF89P041"
"356","NR17C2aF89P045"
"357","NR17C2aF89P050"
"358","NR17C2aF89P054"
"359","NR17C2aF89P058"
"360","NR17C2aF89P067"
"361","NR17C2aF89P069"
"362","NR17C2aF89P071"
"363","NR17C2aF89P088"
"364","NR17C2aF89P091"
"365","NR17C2aF89P096"
"366","NR17C2aF89P102"
"367","NR17C2aF90P007"
"368","NR17C2aF91P001"
"369","NR17C2aF91P004"
"370","NR17C2aF91P006"
"371","NR17C2aF91P011"
"372","NR17C2aF92P001"
"373","NR17C2aF92P002"
"374","NR17C2aF92P003"
"375","NR17C2aF92P005"
"376","NR17C2aF93P009"
"377","NR17C2aF93P010"
"378","NR17C2aF94P013"
"379","NR17C2aF95P003"
"380","NR17C2aF95P009"
"381","NR17C2aF95P011"
"382","NR17C2aF95P015"
"383","NR17C2aF95P021"
"384","NR17C2aF96P004"
"385","NR17C2aF97P002"
"386","NR17C2aF98P001"
"387","NR17C2aF99P002"
"388","NR17C2aF9P010"
"389","NR17C2aF9P013"
"390","NR8082"
"391","TMEB419"
"392","TMEB7"
"393","NR17C2aF10P002"
"394","NR17C2aF10P025"
"395","NR17C2aF10P036"
"396","NR17C2aF1P009"
"397","NR17C2aF121P001"
"398","NR17C2aF10P017"
"399","NR17C2aF15P016"
"400","NR17C2aF12P001"
"401","NR17C2aF46P005"
"402","NR17C2aF16P013"
"403","NR17C2aF28P002"
"404","NR17C2aF21P004"
"405","NR17C2aF13P001"
"406","NR17C2aF114P002"
"407","TMEB7"
"408","NR17C2aF60P015"
"409","NR17C2aF6P044"
"410","NR17C2aF87P011"
"411","NR17C2aF54P010"
"412","NR17C2aF61P003"
"413","NR17C2aF97P002"
"414","NR17C2aF89P084"
"415","NR17C2aF89P028"
"416","NR17C2aF89P010"
"417","NR17C2aF7P007"
"418","NR17C2aF62P027"
"419","IITA-TMS-IBA30572"
"420","NR17C2aF70P007"
"421","NR17C2aF65P027"
"422","NR17C2aF82P008"
