"","swelling.index","swelling.power","WAC","Bulk.Density"
"176",2.057,8.035,411.5,0.772
"177",2.5,6.78,425.5,0.969
"178",1.797,7.09,416,0.937
"179",1.78,8.575,373.5,0.909
"180",2.42,6.855,388,0.824
"181",2.26,8.335,311.5,0.908
"182",1.967,9.71,493,0.884
"183",2.439,8.075,348.5,0.983
"184",2.12,8.225,429.5,0.778
"185",2.001,7.975,411.5,0.883
"186",1.989,8.41,363,0.908
"187",1.709,9.03,467.5,0.933
"188",1.872,7.66,353.5,0.833
"189",1.986,7.79,315,0.909
"190",1.939,7.875,434.5,0.88
"191",1.93,8.33,329.5,0.934
"192",2.217,7.855,392.5,0.909
"193",1.689,11.21,347,0.908
"194",2.2,8.88,466.5,0.851
"195",2.445,8.35,413,0.852
"196",1.854,8.56,371,0.909
"197",1.88,7.875,370.5,0.907
"198",1.949,8.975,392.5,0.908
"199",2.781,9.435,484.5,0.858
"200",2.039,7.115,457,0.858
"201",1.985,8.1925,403,0.906
"202",1.862,8.8,502,0.879
"203",2.21,8.11,457.5,0.857
"204",2.044,7.135,372.5,0.996
"205",1.668,9.79,399,0.867
"206",2.119,8.025,405,0.953
"207",2.44,7.835,360.5,0.909
"208",2.119,7.65,443,0.869
"209",2.14,8.59,424.5,0.93
"210",1.957,9.57,339,0.938
"211",1.831,8.35,422.5,0.831
"212",1.739,8.515,425.5,0.886
"213",2.001,8.11,400.5,0.908
"214",2.167,6.665,444,0.936
"215",1.84,7.99,442.5,0.934
"216",1.713,10.21,567,0.908
"217",2.44,6.5,540,0.828
"218",2.5,7.645,545,0.769
"219",2.32,6.235,477,0.833
"220",3.15,6.989,503,0.719
"221",2.357,7.5,520,0.816
"222",2.483,7.376,573,0.839
"223",2.72,7.622,489,0.79
"224",2.72,6.879,496,0.857
"225",2.357,7.459,573,0.781
"226",2.4,6.794,519,0.715
"227",2.8,7.867,586,0.769
"228",2.955,7.737,509,0.876
"229",3.095,7.082,531,0.833
"230",2.346,6.949,563,0.833
"231",2.321,7.768,478,0.723
"232",2.536,7.622,570,0.811
"233",2.857,6.184,487,0.896
"234",2.6,7.755,599,0.8
"235",2.8,7.116,486,0.857
"236",2.5,7.576,551,0.788
"237",2.538,7.367,563,0.79
"238",2.267,7.557,550,0.763
"239",2.074,7.414,486,0.811
"240",2.417,7.194,495,0.839
"241",2.6,6.907,503,0.792
"242",2.4,7.406,496,0.909
"243",3.15,7.34,520,0.79
"244",3.182,7.367,531,0.79
"245",2.609,7.379,480,0.811
"246",2.8,6.865,566,0.75
"247",2.44,6.818,497,0.833
"248",2.4,8,541,0.85
"249",2.5,7.337,564,0.809
"250",2.8,6.776,582,0.79
"251",2.292,6.933,482,0.77
"252",2.321,6.768,471,0.741
"253",2.833,7.969,535,0.785
"254",2.444,7.897,491,0.841
"255",2.346,7.918,497,0.79
"256",2.56,7.847,513,0.8
"257",2.6,6.541,407,0.876
"258",2.143,5.701,404,0.82
"259",2.708,6.946,509,0.845
"260",2.522,7.707,502,0.833
"261",2.68,6.856,501,0.822
"262",2.692,6.908,425,0.855
"263",2.4,8.573,522,0.855
"264",2.37,7.897,564,0.833
"265",2.625,7.515,457,0.811
"266",2.64,7.747,523,0.8
"267",3,7.379,491,0.857
"268",2.75,7.859,431,0.765
"269",2.667,6.687,565,0.833
"270",2.48,7.424,501,0.811
"271",2.4,6.602,506,0.779
"272",2.522,7.143,494,0.806
"273",3.5,7.112,529,0.855
"274",2.63,8.479,532,0.811
"275",2.5,7.122,515,0.674
"276",2.259,7.266,528,0.779
"277",2.233,8.667,583,0.883
"278",3.4,7.745,515,0.857
"279",2.28,7.125,529,0.833
"280",2.917,6.918,615,0.809
"281",2.407,7.903,507,0.851
"282",3.095,6.854,504,0.857
"283",2.909,7.051,522,0.822
"284",2.727,7.6,520,0.822
"285",2.083,6.01,406,0.755
"286",2.52,7.939,547,0.811
"287",2.333,7.293,529,0.811
"288",2.905,7.118,520,0.779
"289",2.4,6.525,398,0.874
"290",2.48,8.242,522,0.782
"291",2.5,7.906,453,0.87
"292",2.4,6.423,481,0.809
"293",2.192,6.949,469,0.806
"294",2.5,6.768,427,0.682
"295",2.37,7.02,565,0.79
"296",2.037,6.374,525,0.751
"297",2.875,8.125,545,0.79
"298",2.542,7.455,558,0.75
"299",2.156,7.989,544,0.785
"300",2.345,7.042,538,0.787
"301",2.5,6.979,484,0.769
"302",2.44,7.144,493,0.771
"303",2.321,7.32,502,0.717
"304",2.222,8.082,177,0.826
"305",2.083,6.732,364,0.769
"306",3,7.421,500,0.79
"307",2.6,7.469,473,0.811
"308",2.6,7.14,530,0.876
"309",2.308,7.155,488,0.79
"310",3.4,7.663,531,0.833
"311",2.818,7.74,545,0.857
"312",2.542,8.023,464,0.76
"313",3.25,7.273,545,0.853
"314",2.48,7.937,494,0.811
"315",2.625,7.063,520,0.857
"316",2.462,7.883,511,0.789
"317",2.5,7.535,514,0.857
"318",2.545,6.192,504,0.789
"319",2.84,7.34,514,0.811
"320",2.4,6.98,505,0.826
"321",2.4,7.34,473,0.785
"322",2.6,7.04,478,0.779
"323",2.583,6.543,482,0.834
"324",2.773,5.859,491,0.75
"325",2.4,7.144,515,0.811
"326",2.667,6.763,550,1.512
"327",3.1,6.778,494,0.811
"328",2.609,7.01,456,0.795
"329",3,6.657,470,0.811
"330",2.917,7.457,569,0.862
"331",2.48,7.615,507,0.834
"332",3.143,6.755,535,0.824
"333",3,7.226,476,0.839
"334",3.5,6.253,633,0.811
"335",2.778,6.929,602,0.75
"336",2.333,7.242,562,0.765
"337",2.56,9.531,506,0.769
"338",2.917,7.235,553,0.769
"339",2.6,7.485,521,0.811
"340",2.917,6.567,477,0.834
"341",2.667,7.854,522,0.857
"342",2.5,7.8,556,0.822
"343",2.5,7.581,518,0.732
"344",2.682,7.237,474,0.811
"345",2.625,7.969,518,0.909
"346",2.696,7.095,463,0.769
"347",2.097,6.545,466,0.826
"348",2.308,6.938,561,0.851
"349",2.692,6.742,554,0.769
"350",2.56,6.505,487,0.857
"351",2.6,6.918,533,0.857
"352",3.25,6.383,483,0.81
"353",2.905,7.402,494,0.856
"354",3.444,5.747,550,0.755
"355",3.25,6.632,574,0.789
"356",2.348,6.5,339,0.736
"357",2.391,6.402,491,0.822
"358",2.708,7.812,544,0.736
"359",2.538,6.879,432,0.811
"360",3.524,7.2,602,0.723
"361",2.48,6.303,520,0.857
"362",2.385,7.134,466,0.779
"363",2.385,6.602,487,0.769
"364",3.333,8.191,483,0.824
"365",2.64,5.798,244,0.8
"366",2.6,7.326,535,0.678
"367",3,8.744,561,0.769
"368",2.609,7.404,503,0.833
"369",2.6,7.697,536,0.768
"370",2.88,7.635,531,0.831
"371",2.609,7.344,584,0.833
"372",2.826,6.384,502,0.811
"373",2.318,6.235,528,0.85
"374",3.15,8.915,575,0.774
"375",2.64,7.866,505,0.829
"376",2.542,8.042,513,0.785
"377",2.577,7.663,509,0.831
"378",2.808,7.899,555,0.76
"379",2.5,7.227,480,0.785
"380",2.375,6.432,488,0.75
"381",2.6,7.615,468,0.76
"382",2.84,7.412,605,0.732
"383",2.625,6.859,526,0.834
"384",2.56,6.949,509,0.79
"385",2.826,6.96,515,0.789
"386",2.708,6.929,490,0.785
"387",2.6,7.293,522,0.833
"388",3.1,7.495,548,0.839
"389",2.222,7.265,441,0.806
"390",3.333,7.082,538,0.822
"391",2.593,7.121,504,0.769
"392",2.65,6.925,455,0.834
"393",1.78,5.98,526.5,0.86
"394",2.25,6.5,543.5,0.86
"395",2.18,5.86,543,0.83
"396",2.52,6.18,607.5,0.86
"397",2.26,6.46,536.5,0.86
"398",1.79,6.29,495.5,0.86
"399",2,5.88,424.5,0.94
